case_id,root_cause,confidence,osi_layer,evidence,next_command,fix_steps_json
C011,The router's own gateway address (10.10.60.1) was never excluded from the DHCP pool and got leased to a client.,high,Layer 3,show ip dhcp binding shows 10.10.60.1 leased to a client MAC; no ip dhcp excluded-address command is present for it.,show ip dhcp binding,"[""ip dhcp excluded-address 10.10.60.1 10.10.60.10"", ""clear the bad lease with clear ip dhcp binding 10.10.60.1"", ""re-test that the client gets a different address""]"
C012,"VLAN 70's gateway interface is missing 'ip helper-address', so DHCP broadcasts never reach the remote server.",high,Layer 3,show run int vlan70 has no ip helper-address line; debug shows no DHCPDISCOVER arriving at the server interface.,show run interface vlan70,"[""interface vlan70"", ""ip helper-address <dhcp-server-ip>"", ""re-test that VLAN 70 clients receive a lease""]"
C013,Clients on VLAN 80 are not receiving any default gateway from DHCP at all.,low,Layer 3,"Browsing fails after clients get an IP, suggesting a gateway or DNS problem in the DHCP scope.",show run | section dhcp pool LAB80,"[""review the DHCP pool configuration for LAB80"", ""verify the default-router and dns-server options""]"
C014,"The internal DNS server at 10.10.1.53 is unreachable, so name resolution fails even though the target service's IP is fine.",high,Layer 7,Ping to 10.10.1.53 times out while ping to the web server's IP succeeds.,ping 10.10.1.53,"[""check the DNS server's power/interface status"", ""verify routing/ACLs toward 10.10.1.53"", ""restart the DNS service if the host is reachable but not answering on port 53"", ""re-test nslookup""]"
C015,This PC's statically configured DNS server IP has a digit transposition (10.10.1.35 instead of 10.10.1.53).,high,Layer 7,"ipconfig /all shows DNS 10.10.1.35, which is unreachable, while the correct server is 10.10.1.53.",ipconfig /all,"[""correct the static DNS entry to 10.10.1.53"", ""or switch the PC back to DHCP-assigned DNS"", ""re-test nslookup""]"
C016,"A newly added ACL entry on the WAN link denies UDP port 53, blocking DNS while ICMP still passes.",high,Layer 3/4,"show access-lists WAN-IN shows 'deny udp any any eq 53' ahead of the permit statements; ping still succeeds, isolating this to port 53 specifically.",show access-lists WAN-IN,"[""remove or reorder the deny udp eq 53 line"", ""add an explicit permit for udp any any eq 53 if DNS should be allowed"", ""re-test nslookup from the branch""]"
C017,"No DNS A record exists for the new app server, so the hostname simply does not resolve.",high,Layer 7,nslookup returns non-existent domain and the DNS zone has no A record for appserver.,show zone internal.local (or check DNS server console),"[""create an A record for appserver.local pointing to 10.10.9.30"", ""re-test nslookup"", ""re-test browsing by hostname""]"
C018,"HQ is missing the static route to the branch LAN subnet 172.20.5.0/24, so return traffic has nowhere to go.",high,Layer 3,HQ show ip route has no entry for 172.20.5.0/24; the corresponding ip route statement is absent from the running config.,show ip route 172.20.5.0,"[""ip route 172.20.5.0 255.255.255.0 <branch-wan-ip>"", ""confirm the route appears in show ip route"", ""re-test ping from HQ to a branch LAN host""]"
C019,"OSPF is not enabled on the R1-R2 link interface, so no neighbor relationship ever forms.",medium,Layer 3,"show ip ospf neighbor is empty on R1, suggesting OSPF is not running on that interface.",show ip ospf interface brief,"[""confirm the interface is included in the OSPF network statement or has 'ip ospf 1 area 0' applied"", ""re-test neighbor formation""]"
C020,The default route's next-hop IP (203.0.113.254) is wrong; the real ISP hand-off is 203.0.113.253.,high,Layer 3,"Ping to the configured next hop 203.0.113.254 times out, indicating that address does not answer on the WAN link.",show ip route 0.0.0.0,"[""update the static route: ip route 0.0.0.0 0.0.0.0 203.0.113.253"", ""remove the old incorrect static route"", ""re-test internet reachability""]"
C021,"A policy-based routing map is sending return traffic out a misconfigured interface, causing asymmetric routing.",medium,Layer 3,Traceroute A-to-B is clean but B-to-A dies at the last hop; the route-map POLICY forces the return path onto a different interface.,show route-map POLICY,"[""review the route-map's match/set statements for the return direction"", ""correct the set interface/next-hop to match the intended path"", ""re-test bidirectional traceroute""]"
C022,"The new PAYROLL-IN ACL only permits TCP 443, so the app's real port (8443) is caught by the implicit deny.",high,Layer 3/4,show access-lists PAYROLL-IN only has a permit for eq 443; hit counters show the implicit deny incrementing heavily.,show access-lists PAYROLL-IN,"[""add: permit tcp 10.10.11.0 0.0.0.255 host 10.10.99.5 eq 8443"", ""re-test HR access to the payroll app"", ""confirm implicit-deny hit counter stops climbing""]"
C023,"The ACL is missing a deny statement for host 10.10.12.50 entirely, which is why it still gets through.",medium,Layer 3/4,show access-lists BLOCK-HOST lists a permit for the subnet; assumed the specific deny line was never added.,show access-lists BLOCK-HOST,"[""add a deny statement for host 10.10.12.50 to the ACL"", ""re-test that the host is now blocked""]"
C024,The LAB-ACL is applied in the wrong direction ('out' instead of 'in') on the VLAN 90 interface.,high,Layer 3/4,"show run int vlan90 shows 'ip access-group LAB-ACL out', but the ACL's permit rules are written for inbound HTTP.",show run interface vlan90,"[""remove: ip access-group LAB-ACL out"", ""add: ip access-group LAB-ACL in"", ""re-test inbound HTTP to the test server from outside""]"
C025,"ACL 101 is a stateless list that only permits outbound DNS queries and has no matching entry for return traffic, so responses are dropped.",high,Layer 3/4,show access-lists 101 shows only 'permit udp 10.10.13.0 0.0.0.255 any eq 53' with nothing allowing the reply traffic back in.,show access-lists 101,"[""add a permit for udp any eq 53 10.10.13.0 0.0.0.255 on the return leg, or replace with a reflexive/extended ACL that tracks established sessions"", ""re-test DNS resolution from VLAN 13""]"
C026,"'ip nat inside' and 'ip nat outside' were never applied to the LAN and WAN interfaces, so the NAT rule has nothing to act on.",high,Layer 3,"show ip interface shows neither Gi0/1 nor Gi0/0 marked with a NAT role, even though the overload rule exists in the config.",show ip interface Gi0/1,"[""interface Gi0/1 / ip nat inside"", ""interface Gi0/0 / ip nat outside"", ""re-test internet access from an internal host"", ""confirm entries appear in show ip nat translations""]"
C027,"NAT overload is not enabled at all for this subnet, which is why most hosts cannot reach the internet.",low,Layer 3,"Only a few hosts show up in show ip nat translations, suggesting NAT overload was never turned on for the subnet.",show run | include ip nat,"[""verify ip nat inside source list 1 interface Gi0/0 overload is present"", ""re-test internet access from an affected host""]"
C028,"No static NAT/port-forward rule exists for the internal web server, so inbound requests from outside are never translated.",high,Layer 3,show run has no matching 'ip nat inside source static tcp' line for 10.10.5.20; show ip nat translations has no static entry.,show ip nat translations,"[""ip nat inside source static tcp 10.10.5.20 80 interface Gi0/0 80"", ""re-test reaching the server from outside the network"", ""confirm the static entry appears in show ip nat translations""]"
C029,"The Guest SSID is mapped to VLAN 10 (internal/trusted) instead of the isolated VLAN 99, so guest traffic reaches internal servers.",high,Layer 2,"show wlan 2 shows 'interface VLAN10' for the Guest SSID, and VLAN10 has no isolation ACL applied.",show wlan 2,"[""remap the Guest SSID's interface to VLAN 99"", ""confirm VLAN 99 has the guest-isolation ACL applied"", ""re-test that guest devices cannot reach internal servers""]"
C030,The RADIUS server's shared secret was recently changed and needs to be updated on the WLC.,low,Layer 7,"Multiple 802.1X authentication failures were logged, which could point to a RADIUS shared-secret mismatch.",show run | include radius,"[""verify the RADIUS shared secret on the WLC matches the RADIUS server"", ""re-test authentication from an affected laptop""]"
