case_id,category,severity,osi_layer,concept_tag,symptom,topology_note,show_output,expected_fault,host_ip,host_mask,gateway_ip_configured,router_interface_ip,router_interface_mask,interface_status,vlan_assigned_on_port,vlan_exists_on_switch,route_to_dest_present,duplicate_ip_flag
C015,DNS,Low,Layer 7,dns-wrong-server-configured,Only one PC in the lab cannot resolve any hostname; others are fine.,"DHCP normally hands out DNS 10.10.1.53, this PC has a static config.","PC ipconfig /all: DNS Server 10.10.1.35 (transposed digits, should be .53). ping 10.10.1.35: Destination host unreachable.",A statically configured DNS server address has a digit transposition (10.10.1.35 vs 10.10.1.53) pointing at a nonexistent host.,10.10.1.120,255.255.255.0,10.10.1.1,10.10.1.1,255.255.255.0,up/up,1,1,True,False
C016,DNS,Medium,Layer 7,dns-acl-blocking-port53,Branch office cannot resolve HQ hostnames even though the DNS server IP is reachable.,An ACL was recently added to the WAN link for security hardening.,ping 10.10.1.53 from branch: success. nslookup: Request timed out. show access-lists WAN-IN: deny udp any any eq 53 (line 10) present above any permit.,"A newly added ACL entry is blocking UDP port 53 (DNS) across the WAN link, even though basic ICMP reachability still works.",10.30.1.50,255.255.255.0,10.30.1.1,10.30.1.1,255.255.255.0,up/up,n/a,n/a,True,False
C017,DNS,Low,Layer 7,dns-record-missing,"New internal app server can't be reached by name, only by IP.",Server was just deployed at 10.10.9.30.,nslookup appserver.local: Non-existent domain. DNS server show zone internal.local: no A record for appserver.,"No DNS A record was ever created for the new server, so the name simply does not exist in the zone.",10.10.9.30,255.255.255.0,10.10.9.1,10.10.9.1,255.255.255.0,up/up,9,9,True,False
C018,Routing,High,Layer 3,missing-route,HQ can ping the branch router's WAN interface but not any branch LAN host.,"Branch LAN is 172.20.5.0/24, advertised via static routes at HQ.",HQ show ip route: no entry for 172.20.5.0/24. show run: missing 'ip route 172.20.5.0 255.255.255.0 <branch-wan-ip>' statement.,"HQ is missing the static route to the branch LAN subnet (172.20.5.0/24), so return traffic has no path back.",172.20.5.10,255.255.255.0,172.20.5.1,172.20.5.1,255.255.255.0,up/up,n/a,n/a,False,False
C019,Routing,Medium,Layer 3,ospf-neighbor-down,Two areas that used to see each other's routes suddenly stopped exchanging routes.,R1 and R2 run OSPF area 0 over a shared /30 link.,"R1 show ip ospf neighbor: (empty, no neighbors). show run int Gi0/1: ip ospf 1 area 0 present, but 'ip address' shows a typo'd /29 instead of /30 mask, breaking the adjacency.",A subnet mask mismatch on the OSPF link (/29 vs /30) is preventing the OSPF neighbor adjacency from forming.,n/a,n/a,n/a,10.1.1.1,255.255.255.248,up/up,n/a,n/a,False,False
C020,Routing,Medium,Layer 3,wrong-next-hop,Traffic to the internet times out even though the default route exists.,R1 has a static default route pointing to the ISP.,"show ip route: S* 0.0.0.0/0 via 203.0.113.254. ping 203.0.113.254: Request timed out (that address is not the ISP's real next hop, which is .254 vs actual .253).","The default route's next-hop IP (203.0.113.254) is wrong; the real ISP hand-off address is 203.0.113.253, so the route points at a dead end.",n/a,n/a,n/a,203.0.113.1,255.255.255.252,up/up,n/a,n/a,True,False
C021,Routing,High,Layer 3,asymmetric-routing-acl,Ping between two sites works one way and fails the other way.,Two ISP links provide redundancy; policy routing was recently added.,Traceroute site A to B: completes normally. Traceroute site B to A: dies at the last hop. show route-map POLICY: return path forced out the wrong interface.,"A policy-based routing map is sending return traffic out a different, misconfigured interface, creating asymmetric routing that breaks the reverse path.",n/a,n/a,n/a,198.51.100.1,255.255.255.252,up/up,n/a,n/a,True,False
C022,ACL,High,Layer 3/4,acl-implicit-deny,HR VLAN can no longer reach the payroll server after a new ACL was applied.,ACL PAYROLL-IN applied inbound on the payroll server's VLAN interface.,show access-lists PAYROLL-IN: permit tcp 10.10.11.0 0.0.0.255 host 10.10.99.5 eq 443 (only). show access-lists hit counts: implicit deny counter incrementing heavily.,"The new ACL only permits HTTPS (443) and everything else, including the app's real port (8443), is caught by the implicit deny at the end of the list.",10.10.11.30,255.255.255.0,10.10.11.1,10.10.11.1,255.255.255.0,up/up,11,11,True,False
C023,ACL,Medium,Layer 3/4,acl-order-wrong,A specific host that should be blocked from the server VLAN can still get through.,ACL is supposed to deny host 10.10.12.50 but permit the rest of the subnet.,show access-lists BLOCK-HOST: line 10 permit ip 10.10.12.0 0.0.0.255 any; line 20 deny host 10.10.12.50 any. Deny line never matches because the broader permit is evaluated first.,"ACL statement order is wrong: the broad permit for the whole subnet comes before the specific deny, so the deny for 10.10.12.50 never gets evaluated.",10.10.12.50,255.255.255.0,10.10.12.1,10.10.12.1,255.255.255.0,up/up,12,12,True,False
C024,ACL,Low,Layer 3/4,acl-wrong-direction,"Outbound web browsing from the lab VLAN works, but nobody outside can reach the lab's test web server.",ACL LAB-ACL was intended to allow inbound HTTP to the test server only.,show run int vlan90: ip access-group LAB-ACL out (applied outbound instead of inbound). show access-lists LAB-ACL: permit tcp any host 10.10.90.20 eq 80.,"The ACL was applied in the 'out' direction on the VLAN interface instead of 'in', so it never filters the inbound traffic it was written for.",10.10.90.20,255.255.255.0,10.10.90.1,10.10.90.1,255.255.255.0,up/up,90,90,True,False
C025,ACL,Medium,Layer 3/4,acl-missing-permit-return,"Outbound DNS queries from a locked-down VLAN work, but no answers ever come back.",A restrictive numbered ACL only lists specific permits with no 'established' or return-traffic allowance.,"show access-lists 101: permit udp 10.10.13.0 0.0.0.255 any eq 53 (outbound only, standard ACL cannot match return traffic by state).","The ACL only permits outbound DNS queries; because it is a standard/stateless list with no matching return-traffic entry, DNS responses are dropped.",10.10.13.40,255.255.255.0,10.10.13.1,10.10.13.1,255.255.255.0,up/up,13,13,True,False
C026,NAT,High,Layer 3,nat-inside-outside-not-set,No internal host can reach the internet even though the default route and ISP link are up.,PAT/NAT overload is configured on R1 for internet access.,show run: ip nat inside source list 1 interface Gi0/0 overload present. show ip interface: Gi0/1 (LAN) NOT marked 'NAT: inside'. Gi0/0 (WAN) NOT marked 'NAT: outside'.,"The 'ip nat inside' and 'ip nat outside' interface commands were never applied, so the NAT overload rule has no interfaces to actually translate on.",192.168.1.50,255.255.255.0,192.168.1.1,192.168.1.1,255.255.255.0,up/up,n/a,n/a,True,False
C027,NAT,Medium,Layer 3,nat-acl-too-narrow,Only a handful of PCs can browse the internet; the rest of the subnet cannot.,NAT overload uses access-list 1 to define which hosts get translated.,"show access-lists 1: permit 192.168.1.0 0.0.0.15 (only covers .0-.15, subnet is actually /24). show ip nat translations: only low-numbered hosts appear.","The NAT source access-list only matches the first 16 addresses of the subnet (wrong wildcard mask), so the rest of the LAN is never translated.",192.168.1.120,255.255.255.0,192.168.1.1,192.168.1.1,255.255.255.0,up/up,n/a,n/a,True,False
C028,NAT,Low,Layer 3,nat-port-forward-missing,Internal web server is reachable from inside but not from the internet.,Server should be reachable via a static NAT/port-forward on TCP 80.,show run: no 'ip nat inside source static tcp 10.10.5.20 80 interface Gi0/0 80' entry present. show ip nat translations: no static entries for 10.10.5.20.,"No static NAT/port-forward rule exists for the web server, so inbound requests from outside have no translation to reach it.",10.10.5.20,255.255.255.0,10.10.5.1,10.10.5.1,255.255.255.0,up/up,5,5,True,False
C029,Wireless,Medium,Layer 2,wlan-vlan-mapping-wrong,"Guest Wi-Fi devices can reach internal file servers, which should never happen.","Guest SSID is supposed to map to VLAN 99, isolated by an ACL.",show wlan 2 (Guest): interface VLAN10 (should be VLAN99). VLAN10 is the trusted internal VLAN with no isolation ACL.,"The Guest SSID is mapped to VLAN 10 (internal) instead of VLAN 99 (isolated guest), so guest traffic lands directly on the trusted network.",10.10.10.90,255.255.255.0,10.10.10.1,10.10.10.1,255.255.255.0,up/up,10,10,True,False
C030,Wireless,Low,Layer 1/2,wlan-auth-mismatch,"Several students' laptops fail to join the classroom Wi-Fi with an authentication error, others connect fine.",WPA2-Enterprise SSID re-keyed recently for the semester.,WLC client trap log: repeated 802.1X authentication failures for a subset of MAC addresses. Those laptops still have last semester's cached RADIUS credentials/profile.,"Affected laptops are using a stale cached Wi-Fi profile with last semester's 802.1X credentials, which no longer match the RADIUS server.",n/a,n/a,n/a,n/a,n/a,up/up,n/a,n/a,n/a,False
